#k_fold_value, accuracy 
0, 0.500000 
1, 0.611111 
2, 0.555556 
3, 0.611111 
4, 0.666667 
5, 0.777778 
6, 0.444444 
7, 0.722222 
8, 0.611111 
9, 0.611111 
10, 0.722222 
11, 0.777778 
12, 0.722222 
13, 0.555556 
14, 0.777778 
15, 0.555556 
16, 0.611111 
17, 0.722222 
18, 0.611111 


#mean: 0.640351 
#variance: 0.008892 
#sta_dev: 0.094295 
#Mean Square Error: 64 ± 9% 


#Confusion Matrix
#4, 5
#7, 2

#4, 5
#6, 3

#7, 2
#7, 2

#4, 5
#6, 3

#6, 3
#3, 6

#6, 3
#5, 4

#4, 5
#6, 3

#6, 3
#2, 7

#4, 5
#2, 7

#5, 4
#3, 6

#6, 3
#2, 7

#9, 0
#4, 5

#8, 1
#5, 4

#7, 2
#6, 3

#6, 3
#3, 6

#4, 5
#3, 6

#5, 4
#5, 4

#4, 5
#3, 6

#6, 3
#4, 5

-----------------------
